age,gender,branch,degree,semester,cgpa,backlogs,attendance_percentage,programming_score,dsa_score,sql_score,web_dev_score,ml_score,cloud_score,aptitude_score,coding_test_score,communication_score,leadership_score,teamwork_score,interview_score,number_of_projects,project_quality_score,number_of_certifications,internship_experience,internship_count,hackathons_attended,github_contributions,resume_score,technical_skill_avg,soft_skill_avg,academic_score_index,experience_score,overall_readiness_index
22,Male,Computer Science,B.Tech,8,5.18,0,84.8,56.1,43.4,61.8,66.1,55.5,46.4,60.8,47.9,80.8,84.6,62.5,65.3,1,31.0,1,0,0,0,13,52.4,54.88,73.3,61.7,23.3,55.87
22,Female,Information Technology,B.Tech,8,7.59,0,66.6,50.6,56.9,65.6,61.6,48.0,66.3,75.0,53.9,67.5,42.8,70.4,76.4,2,46.4,2,0,0,0,148,66.1,58.17,64.28,73.11,41.92,61.44
21,Male,Information Technology,B.Tech,8,7.82,0,95.0,70.6,57.2,76.7,49.4,28.5,80.0,89.3,54.4,71.2,67.5,67.6,70.5,2,62.6,1,1,1,0,57,59.2,60.4,69.2,83.24,68.78,70.27
21,Male,Information Technology,B.Tech,8,6.85,0,85.8,60.3,68.8,52.6,68.0,57.6,49.1,74.9,64.8,70.0,67.8,67.7,79.9,2,50.8,2,0,0,1,16,49.4,59.4,71.35,73.69,47.24,64.25
22,Male,Computer Science,B.Tech,8,7.42,0,75.4,72.4,56.6,72.9,48.2,45.8,66.2,65.7,59.0,43.1,95.0,76.7,52.3,5,81.6,1,0,0,1,285,69.8,60.35,66.78,74.56,74.48,68.02
23,Male,Information Technology,B.Tech,8,6.05,0,64.2,62.9,49.1,75.4,81.4,59.6,63.3,77.2,54.7,81.4,82.1,83.5,70.4,2,53.4,0,0,0,2,14,51.9,65.28,79.35,61.61,40.02,63.2
22,Male,Computer Science,B.Tech,8,6.98,0,70.1,68.0,69.1,84.7,66.6,42.5,71.5,72.1,74.5,92.8,70.1,86.8,81.3,1,38.9,2,0,0,1,21,62.8,67.07,82.75,69.89,35.67,66.34
22,Female,Information Technology,B.Tech,8,7.37,0,76.0,61.9,61.6,67.6,74.6,49.8,43.3,63.4,68.7,66.6,81.2,77.8,70.5,2,51.0,2,1,1,0,33,87.0,59.8,74.03,74.39,71.3,68.75
21,Female,Electronics,B.Tech,8,8.36,0,62.3,68.0,54.8,70.9,93.7,41.1,57.8,97.0,53.3,71.7,62.2,72.7,63.4,2,46.3,1,0,0,0,279,56.2,64.38,67.5,77.21,35.89,64.58
21,Female,Computer Science,B.Tech,8,7.54,1,81.6,61.3,55.0,68.0,69.2,51.0,38.9,63.0,46.4,90.3,54.6,54.8,68.0,2,51.0,1,0,0,0,34,48.4,57.23,66.92,67.26,37.3,59.19
22,Male,Electronics,B.Tech,8,7.6,0,89.4,82.5,75.1,79.4,49.0,45.3,78.5,69.0,77.6,67.3,57.2,91.6,61.7,1,35.7,0,0,0,0,221,54.2,68.3,69.45,80.02,18.71,64.61
22,Male,Information Technology,B.Tech,8,6.31,3,93.7,55.7,49.5,66.4,66.3,66.5,31.3,70.5,48.0,73.0,84.6,60.2,63.0,0,20.0,0,1,1,0,17,66.1,55.95,70.2,42.28,34.0,51.41
21,Male,Computer Science,B.Tech,8,4.99,0,85.5,36.2,37.0,39.0,74.7,61.6,57.5,67.3,39.3,78.4,64.7,72.6,73.3,1,27.5,2,0,0,1,80,53.2,51.0,72.25,60.58,32.25,55.31
21,Male,Information Technology,B.Tech,8,6.11,0,64.6,39.8,43.8,58.4,65.9,39.2,31.0,79.1,36.5,48.8,84.7,56.9,56.0,0,21.1,1,0,0,1,100,35.5,46.35,61.6,62.15,16.33,49.64
21,Female,Information Technology,B.Tech,8,7.54,0,79.5,70.8,71.2,73.3,82.3,80.1,67.1,98.0,64.5,70.2,90.9,78.8,81.8,1,27.8,1,1,3,0,17,70.2,74.13,80.43,76.63,66.34,74.97
23,Female,Computer Science,B.Tech,8,8.07,0,86.2,71.1,68.8,87.0,49.1,54.9,33.9,83.3,67.1,82.2,45.5,82.3,79.1,5,98.0,1,1,1,0,122,80.8,60.8,72.28,82.35,100.0,75.44
21,Female,Information Technology,B.Tech,8,8.11,0,80.4,70.1,73.1,83.9,64.7,40.0,62.2,75.7,74.6,75.8,38.3,76.6,73.6,0,20.0,3,0,0,1,1,63.9,65.67,66.07,80.89,28.0,64.67
21,Female,Electronics,B.Tech,8,7.89,2,71.9,62.7,68.1,72.1,57.4,58.8,31.1,54.3,61.6,30.0,69.4,66.2,42.5,2,48.4,1,1,1,0,2,87.8,58.37,52.03,56.8,64.52,57.55
21,Male,Civil,B.Tech,8,7.46,1,98.0,74.9,65.3,79.7,67.9,73.2,46.1,72.1,64.3,74.7,59.5,77.6,65.9,1,35.9,4,1,2,3,80,95.9,67.85,69.42,71.62,90.77,72.73
22,Female,Computer Science,B.Tech,8,6.63,0,89.1,55.8,58.1,55.5,19.8,86.5,74.6,78.4,54.5,85.6,48.8,82.9,80.2,1,53.6,3,1,2,0,75,88.5,58.38,74.38,73.14,78.08,68.96
22,Male,Computer Science,B.Tech,8,7.6,3,88.9,42.9,46.2,64.8,81.2,52.8,73.0,82.4,54.7,61.4,65.8,75.1,62.2,3,68.3,0,0,0,0,109,71.6,60.15,66.12,49.87,44.49,55.91
22,Female,Electronics,B.Tech,8,6.23,0,77.5,54.9,47.5,46.3,59.4,67.2,76.8,50.7,45.2,78.3,41.8,82.6,61.0,3,48.7,2,1,1,1,287,77.6,58.68,65.92,66.86,82.61,66.17
22,Female,Computer Science,B.Tech,8,6.56,0,74.3,42.6,41.1,45.8,32.0,62.6,39.6,68.6,38.5,70.9,75.6,52.2,56.2,1,36.9,0,0,0,1,39,51.5,43.95,63.72,68.21,23.07,52.05
23,Female,Computer Science,B.Tech,8,6.01,3,81.4,61.3,75.1,57.0,74.9,98.0,43.0,55.6,76.6,69.6,62.5,91.7,60.8,4,90.6,4,0,0,0,11,77.0,68.22,71.15,36.49,83.18,61.53
22,Male,Electronics,B.Tech,8,4.5,0,74.8,37.8,30.1,51.2,72.3,23.1,70.0,57.1,27.8,,52.2,77.5,47.9,1,42.0,1,0,0,0,8,46.7,47.42,59.2,53.94,26.6,48.61
21,Female,Computer Science,B.Tech,8,7.45,0,86.8,70.2,60.8,71.5,75.5,42.9,46.7,59.1,59.1,74.8,70.1,79.9,66.3,2,43.1,2,1,1,1,234,83.0,61.27,72.77,78.19,72.93,70.4
20,Male,Computer Science,B.Tech,8,7.56,0,92.2,81.3,85.7,71.0,55.0,60.2,45.8,67.2,78.6,72.6,76.1,86.8,80.3,1,47.6,0,1,2,1,115,72.2,66.5,78.95,80.58,62.28,72.58
21,Male,Information Technology,B.Tech,8,4.9,2,79.3,44.7,35.7,47.9,77.4,29.3,39.1,54.6,39.0,44.5,66.0,76.7,40.8,3,46.4,0,1,1,0,8,68.3,45.68,57.0,38.09,65.92,48.7
22,Female,Electronics,B.Tech,8,7.22,1,89.4,64.4,61.8,68.4,63.2,64.6,56.0,59.5,69.9,61.9,78.7,72.6,60.5,2,46.8,4,1,2,0,21,91.1,63.07,68.42,67.36,90.04,69.47
