student_id,age,gender,branch,degree,semester,cgpa,backlogs,attendance_percentage,programming_score,dsa_score,sql_score,web_dev_score,ml_score,cloud_score,aptitude_score,coding_test_score,communication_score,leadership_score,teamwork_score,interview_score,number_of_projects,project_quality_score,number_of_certifications,internship_experience,internship_count,hackathons_attended,github_contributions,resume_score,placement_status
STU1000,21,Male,Electronics,B.Tech,8,7.58,0,89.9,56.8,49.4,78.1,66.2,48.9,53.7,79.7,53.6,55.9,71.0,72.9,60.9,4,69.9,1,1,2,1,150,79.4,1
STU1001,23,Male,Electrical,B.Tech,8,9.9,2,76.0,85.6,75.7,82.7,67.6,53.7,34.9,78.1,83.0,64.9,44.3,58.5,65.8,1,31.4,2,1,1,0,151,96.7,1
STU1002,22,Male,Computer Science,B.Tech,8,5.18,0,84.8,56.1,43.4,61.8,66.1,55.5,46.4,60.8,47.9,80.8,84.6,62.5,65.3,1,31.0,1,0,0,0,13,52.4,1
STU1003,21,Male,Electronics,B.Tech,8,7.16,2,78.5,66.7,63.2,70.2,61.2,49.5,48.6,80.7,65.1,57.7,48.3,82.3,73.9,4,69.9,1,0,0,1,68,69.3,1
STU1004,21,Male,Information Technology,B.Tech,8,7.9,0,80.3,64.3,58.3,60.0,84.7,51.3,30.4,51.7,60.6,63.9,75.8,74.1,57.6,2,59.2,1,1,1,0,42,68.3,1
STU1005,21,Male,Electrical,B.Tech,8,7.34,0,58.4,61.6,56.6,64.8,42.3,47.7,38.6,83.1,56.1,70.9,66.7,65.8,69.2,1,31.7,0,0,0,0,81,57.8,0
STU1006,20,Female,Mechanical,B.Tech,8,7.08,0,79.9,68.2,52.2,62.9,77.3,70.4,58.6,64.3,66.1,73.0,62.3,64.3,64.6,3,62.7,0,0,0,0,23,62.0,1
STU1007,22,Female,Computer Science,B.Tech,8,5.77,3,91.2,27.8,20.0,34.3,74.3,58.5,52.2,91.6,20.0,64.0,61.2,78.8,65.8,4,66.7,0,0,0,0,405,64.3,0
STU1008,22,Female,Electronics,B.Tech,8,7.46,0,76.0,88.3,93.7,99.0,72.5,95.6,47.1,46.7,100.0,79.4,56.1,74.3,68.5,3,85.7,1,1,1,1,149,71.2,1
STU1009,22,Female,Computer Science,B.Tech,8,6.37,0,82.5,48.3,49.3,55.2,78.8,57.9,37.4,92.7,53.2,77.1,83.1,58.6,82.1,3,89.3,0,0,0,2,354,57.1,1
STU1010,20,Female,Information Technology,B.Tech,8,4.79,1,74.8,37.4,37.5,53.4,60.6,45.1,77.2,62.9,28.6,83.7,65.2,50.6,66.1,1,27.2,0,0,0,0,25,48.0,0
STU1011,23,Female,Computer Science,B.Tech,8,8.51,0,85.4,70.0,65.1,77.1,34.0,98.0,38.6,62.7,66.4,69.0,47.2,92.7,66.1,1,47.3,2,1,1,0,69,97.1,1
STU1012,22,Female,Computer Science,B.Tech,8,11.5,0,79.9,80.5,80.6,70.1,60.9,62.4,56.0,70.7,79.7,63.8,59.6,58.6,78.2,4,79.1,0,1,1,0,174,86.4,1
STU1013,21,Male,Information Technology,B.Tech,8,7.26,0,73.1,60.2,59.6,64.4,47.1,72.8,44.2,58.2,61.9,61.8,66.8,77.8,53.0,2,66.0,0,1,3,2,119,85.6,1
STU1014,21,Male,Electronics,B.Tech,8,7.45,0,94.7,58.2,50.5,66.5,51.0,65.7,52.6,67.0,49.4,73.7,77.6,88.6,67.9,1,38.4,3,1,1,2,2,88.1,1
STU1015,21,Male,Computer Science,B.Tech,8,8.38,2,90.8,69.4,71.3,86.4,43.4,66.2,59.3,57.7,70.5,65.5,56.5,73.6,67.5,2,51.0,2,0,0,1,450,73.4,1
STU1016,21,Female,Electronics,B.Tech,8,7.45,1,76.3,64.6,76.2,81.9,54.8,64.6,30.1,58.2,69.8,63.2,57.5,65.4,60.0,3,40.0,0,1,1,2,300,71.7,1
STU1017,21,Female,Information Technology,B.Tech,8,8.19,0,86.7,58.6,60.6,89.7,53.1,35.2,51.9,74.8,55.9,64.6,65.3,56.3,69.2,1,26.2,0,1,2,2,10,65.0,1
STU1018,21,Male,Computer Science,B.Tech,8,6.87,4,87.1,72.0,66.5,74.8,26.3,61.6,71.1,55.4,64.9,61.8,77.2,56.2,63.0,3,65.2,2,1,3,0,89,90.4,0
STU1019,21,Female,Electrical,B.Tech,8,8.64,0,88.1,69.8,67.2,73.5,72.5,31.2,80.2,57.2,73.1,72.4,45.8,76.1,65.2,0,22.0,1,1,3,0,23,69.3,1
STU1020,22,Male,Computer Science,B.Tech,8,7.55,0,65.9,78.0,54.8,76.6,95.3,51.9,49.9,48.8,57.9,53.0,72.1,88.0,57.5,2,37.9,0,0,0,0,203,55.3,1
STU1021,20,Female,Information Technology,B.Tech,8,7.41,0,91.6,64.1,71.0,75.0,71.1,41.9,52.7,60.9,69.9,73.6,58.5,67.6,65.6,3,57.7,0,1,1,0,136,78.2,1
STU1022,21,Male,Electronics,B.Tech,8,5.8,0,76.6,44.6,49.8,59.9,59.0,61.4,87.4,86.4,51.2,78.1,60.5,65.9,73.7,1,40.5,3,0,0,1,20,58.9,0
STU1023,21,Male,Computer Science,B.Tech,8,7.52,0,78.6,76.5,72.2,59.1,61.2,61.0,70.2,56.2,73.3,63.0,93.0,79.7,62.9,1,21.2,1,1,1,1,3,81.3,1
STU1024,21,Male,Computer Science,B.Tech,8,6.28,3,98.0,57.2,42.1,81.8,55.7,63.7,42.1,57.8,49.9,93.1,62.2,64.5,63.5,4,81.3,1,1,1,1,46,80.1,0
STU1025,22,Male,Information Technology,B.Tech,8,6.5,1,110.0,41.6,39.6,59.3,63.4,60.2,42.1,70.7,46.4,70.2,75.6,75.0,64.2,3,77.4,1,0,0,0,4,71.4,0
STU1026,21,Male,Civil,B.Tech,8,6.3,0,78.3,55.3,47.9,43.5,61.4,44.1,67.3,62.8,48.1,51.3,75.1,72.5,52.5,2,53.9,0,0,0,2,15,58.7,0
STU1027,21,Male,Electronics,B.Tech,8,6.03,0,61.0,49.4,50.2,49.6,49.4,50.3,35.8,98.0,46.8,66.6,48.5,67.5,62.3,1,38.4,1,1,1,0,79,54.7,1
STU1028,21,Female,Electronics,B.Tech,8,9.54,1,95.2,68.4,70.4,83.0,87.2,71.6,69.4,65.7,66.9,70.8,39.2,71.8,58.3,2,29.8,3,1,1,0,131,97.5,1
STU1029,20,Female,Electronics,B.Tech,8,8.66,3,69.2,85.6,89.3,99.0,39.7,74.2,57.3,72.7,93.3,75.4,76.5,91.4,83.5,2,41.8,0,1,1,4,61,58.3,1
STU1030,22,Male,Computer Science,B.Tech,8,9.31,2,72.5,84.5,68.7,60.7,72.8,34.4,60.3,81.2,83.1,66.9,49.8,78.6,64.4,1,55.5,4,1,1,0,72,86.1,1
STU1031,21,Female,Information Technology,B.Tech,8,5.85,0,78.9,37.8,31.0,48.0,60.5,27.4,47.9,80.9,27.4,57.9,41.7,84.0,58.4,2,44.0,0,0,0,0,16,57.1,0
STU1032,20,Female,Electrical,B.Tech,8,7.28,1,95.5,60.8,76.9,59.8,90.5,41.9,41.9,71.3,73.9,56.9,79.4,61.9,67.5,2,62.6,1,1,1,1,37,78.0,1
STU1033,23,Male,Computer Science,B.Tech,8,5.78,0,89.3,63.8,55.9,57.1,67.1,73.8,75.4,65.7,63.9,62.2,50.7,84.1,59.1,2,43.9,0,0,0,2,120,39.0,1
STU1034,23,Male,Computer Science,B.Tech,8,6.43,0,80.5,50.1,42.2,58.3,56.6,76.9,48.1,96.3,53.9,63.3,54.2,79.0,78.6,1,32.2,1,0,0,0,35,45.8,1
STU1035,22,Male,Computer Science,B.Tech,8,6.19,0,84.9,52.9,66.7,56.1,58.3,38.4,45.4,66.6,61.7,56.4,92.6,55.5,63.6,1,40.2,1,1,1,1,33,47.9,1
STU1036,21,Male,Information Technology,B.Tech,8,8.56,0,76.3,78.9,93.4,75.4,62.6,60.5,50.7,61.8,85.9,61.2,41.8,77.9,75.6,5,96.0,2,1,1,3,32,91.5,1
